"","coef","param","sort","mean","lb","ub","rhat"
"1051","beta.D[1]","beta.D[1]",1,0.119956242908108,0.113805377340144,0.125975654090601,0.999718872403854
"1062","beta.D[2]","beta.D[2]",2,0.731747982999144,0.725964412325735,0.737765936174381,1.00034290648901
"1065","beta.D[3]","beta.D[3]",3,0.630058952460153,0.624240729240919,0.635967102386777,1.00119506201135
"1066","beta.D[4]","beta.D[4]",4,0.693568303428481,0.687625138457032,0.69932950886154,0.999909366408076
"1067","beta.D[5]","beta.D[5]",5,0.680834907251686,0.674862494570008,0.686589053013788,1.00016147049447
"1068","beta.D[6]","beta.D[6]",6,0.663501012013636,0.657776922202194,0.669341896009279,0.999887633810057
"1069","beta.D[7]","beta.D[7]",7,0.59133243114394,0.585265910020892,0.597214428197372,1.0009002884361
"1070","beta.D[8]","beta.D[8]",8,0.567485751945449,0.561581296783427,0.573297995032734,1.00088638618542
"1071","beta.D[9]","beta.D[9]",9,0.589593311941447,0.583720760764228,0.595361971718365,1.00079220169415
"1052","beta.D[10]","beta.D[10]",10,0.59807657208215,0.592246819943864,0.604030150290595,1.00230973206962
"1053","beta.D[11]","beta.D[11]",11,0.581923690280597,0.5761570513622,0.587580447003967,0.999521753883298
"1054","beta.D[12]","beta.D[12]",12,0.58947482760636,0.583556158060726,0.59517348936137,0.999729954825923
"1055","beta.D[13]","beta.D[13]",13,0.599575377156032,0.59371853835717,0.605577786245535,0.99962870025617
"1056","beta.D[14]","beta.D[14]",14,0.582970799399707,0.576955445503958,0.589162163719796,1.00065121597712
"1057","beta.D[15]","beta.D[15]",15,0.585989643902645,0.580040104725624,0.592128246277883,1.00193044414439
"1058","beta.D[16]","beta.D[16]",16,0.562253921608793,0.556086398508553,0.568029577060755,1.0008320562804
"1059","beta.D[17]","beta.D[17]",17,0.567571349581947,0.561438377492776,0.5735730511957,1.00093032637918
"1060","beta.D[18]","beta.D[18]",18,0.560591470830299,0.554145339146,0.56673554155849,1.00090951628913
"1061","beta.D[19]","beta.D[19]",19,0.565261105679263,0.558950596731578,0.571756132632812,1.00011714786108
"1063","beta.D[20]","beta.D[20]",20,0.645843965158283,0.64038809093145,0.651105112933121,1.00002649551647
"1064","beta.D[21]","beta.D[21]",21,0.535242154445009,0.528998835639896,0.541543888706831,0.999921106163048
